Date,Open,High,Low,Close
8/25/2017,956,957.621,944.1,945.26
8/24/2017,957.42,959,941.14,952.45
8/23/2017,959.38,962,954.2,958
8/22/2017,955.52,967.93,955.495,966.9
8/21/2017,957.57,961.2,945.46,953.29
8/18/2017,961.4,965.43,954.65,958.47
8/17/2017,977.84,977.84,960.32,960.57
8/16/2017,981.65,986.461,973.22,978.18
8/15/2017,988.9,991.74,982,982.74
8/14/2017,978.41,985.5,976.19,983.3
8/11/2017,960,970.39,951.38,967.99
8/10/2017,976.295,979.86,954.68,956.92
8/9/2017,982.6,988,975.27,982.01
8/8/2017,994.35,996.28,985.79,989.84
8/7/2017,990.65,995,987.14,992.27
8/4/2017,989.68,991.672,982,987.58
8/3/2017,999.47,999.5,984.59,986.92
8/2/2017,1001.77,1003.21,981.73,995.89
8/1/2017,996.11,1006.4,991.58,996.19
7/31/2017,1019.05,1019.05,987.02,987.78
7/28/2017,1012.14,1032.85,1001,1020.04
7/27/2017,1069.55,1083.31,1040.18,1046
7/26/2017,1043.2,1053.2,1043.2,1052.8
7/25/2017,1038.05,1043.335,1032.48,1039.87
7/24/2017,1028.34,1043.01,1027.428,1038.95
7/21/2017,1021.28,1026.1,1011,1025.67
7/20/2017,1031.59,1034.97,1022.515,1028.7
7/19/2017,1025,1031.59,1022.5,1026.87
7/18/2017,1006,1026.03,1004,1024.45
7/17/2017,1004.69,1014.75,1003.81,1010.04
7/14/2017,1002.4,1004.45,996.89,1001.81
7/13/2017,1004.62,1006.88,995.9,1000.63
7/12/2017,1000.65,1008.55,998.1,1006.51
7/11/2017,993,995.99,983.72,994.13
7/10/2017,985,999.439,983.5,996.47
7/7/2017,969.55,980.11,969.14,978.76
7/6/2017,964.66,974.4,959.02,965.14
7/5/2017,961.53,975,955.25,971.4
7/3/2017,972.79,974.49,951,953.66
6/30/2017,980.12,983.47,967.61,968
6/29/2017,979,987.56,965.25,975.93
6/28/2017,978.55,990.68,969.21,990.33
6/27/2017,990.69,998.8,976,976.78
6/26/2017,1008.5,1009.8,992,993.98
6/23/2017,1002.54,1004.62,998.02,1003.74
6/22/2017,1002.23,1006.96,997.2,1001.3
6/21/2017,998.7,1002.72,992.652,1002.23
6/20/2017,998,1004.88,992.02,992.59
6/19/2017,1017,1017,989.9,995.17
6/16/2017,996,999.75,982,987.71
6/15/2017,958.7,965.73,950.86,964.17
6/14/2017,988.59,990.34,966.71,976.47
6/13/2017,977.99,984.5,966.1,980.79
6/12/2017,967,975.95,945,964.91
6/9/2017,1012.5,1012.99,927,978.31
6/8/2017,1012.06,1013.61,1006.11,1010.27
6/7/2017,1005.95,1010.249,1002,1010.07
6/6/2017,1012,1016.5,1001.25,1003
6/5/2017,1007.23,1013.21,1003.51,1011.34
6/2/2017,998.99,1008.48,995.67,1006.73
6/1/2017,998.59,998.99,991.37,995.95
5/31/2017,1000,1000.12,982.16,994.62
5/30/2017,996.51,1001.2,995.52,996.7
5/26/2017,995,998.65,989.249,995.78
5/25/2017,984.85,999,982.11,993.38
5/24/2017,976,981,970.23,980.35
5/23/2017,975.02,975.2,966.85,971.54
5/22/2017,964,971.38,962.9,970.67
5/19/2017,962.84,968.92,959.72,959.84
5/18/2017,944.8,962.75,944.76,958.49
5/17/2017,954.7,960.396,944.12,944.76
5/16/2017,961,970.06,960.91,966.07
5/15/2017,958.73,963.15,956.055,957.97
5/12/2017,954.5,962.79,951.53,961.35
5/11/2017,945.11,950.29,940.775,947.62
5/10/2017,953.5,953.75,945,948.95
5/9/2017,952.8,957.89,950.2,952.82
5/8/2017,940.95,949.05,939.21,949.04
5/5/2017,940.52,940.79,930.3,934.15
5/4/2017,944.75,945,934.215,937.53
5/3/2017,946,946,935.9,941.03
5/2/2017,946.645,950.1,941.413,946.94
5/1/2017,927.8,954.4,927.8,948.23
