Date,Open,High,Low,Close
8/25/2017,41.99,42,41.99,41.99
8/24/2017,41.97,42.01,41.95,41.98
8/23/2017,41.72,41.75,41.67,41.68
8/22/2017,41.72,41.76,41.71,41.71
8/21/2017,41.72,41.76,41.71,41.73
8/18/2017,41.7,41.75,41.7,41.73
8/17/2017,41.73,41.76,41.7,41.73
8/16/2017,41.78,41.8,41.705,41.75
8/15/2017,41.84,41.84,41.76,41.79
8/14/2017,41.78,41.86,41.76,41.86
8/11/2017,41.81,41.82,41.71,41.75
8/10/2017,41.825,41.84,41.81,41.83
8/9/2017,41.82,41.86,41.79,41.85
8/8/2017,41.8,41.85,41.8,41.85
8/7/2017,41.81,41.845,41.78,41.82
8/4/2017,41.85,41.85,41.8,41.81
8/3/2017,41.8,41.85,41.79,41.84
8/2/2017,41.83,41.87,41.78,41.81
8/1/2017,41.8,41.86,41.77,41.85
7/31/2017,41.8,41.86,41.75,41.76
7/28/2017,41.8,41.83,41.74,41.82
7/27/2017,41.85,41.85,41.74,41.78
7/26/2017,41.7,41.84,41.69,41.81
7/25/2017,41.67,41.77,41.65,41.75
7/24/2017,41.73,41.8,41.65,41.67
7/21/2017,41.7,41.82,41.67,41.71
7/20/2017,41.75,41.805,41.73,41.76
7/19/2017,41.76,41.88,41.725,41.76
7/18/2017,41.85,41.89,41.74,41.76
7/17/2017,42.05,42.1,41.85,41.89
7/14/2017,41.99,42.12,41.93,42.1
7/13/2017,41.95,42.09,41.94,41.96
7/12/2017,41.98,42,41.89,41.94
7/11/2017,41.85,42.28,41.85,41.94
7/10/2017,41.98,42.03,41.84,41.85
7/7/2017,41.97,42.2,41.955,42
7/6/2017,41.95,42.1067,41.95,42.01
7/5/2017,42.03,42.15,41.97,41.99
7/3/2017,42.05,42.27,42.01,42.04
6/30/2017,42.04,42.29,42.02,42.11
6/29/2017,42.11,42.24,42,42.07
6/28/2017,42.4,42.52,42.16,42.25
6/27/2017,42.6,42.78,42.5,42.56
6/26/2017,42.52,42.9,42.5,42.69
6/23/2017,43.45,43.84,42.88,42.945
6/22/2017,43.08,43.29,42.92,43.2
6/21/2017,42.8,43.31,42.75,43.26
6/20/2017,43,43.18,42.74,42.78
6/19/2017,42.95,43.64,42.88,43.22
6/16/2017,42.18,43.45,41.75,42.68
6/15/2017,34.85,34.97,32.965,33.06
6/14/2017,35.61,35.63,35.2,35.45
6/13/2017,35.24,35.76,35.065,35.62
6/12/2017,35.69,35.9689,35.3,35.32
6/9/2017,35.44,35.885,35.25,35.73
6/8/2017,34.9,35.83,34.89,35.44
6/7/2017,34.77,34.99,34.61,34.92
6/6/2017,34.92,35.06,34.71,34.73
6/5/2017,35.05,35.26,34.7,35.13
6/2/2017,35.12,35.38,34.95,35.08
